Causas (lista reducida);Sexo;Mes de fallecimiento;Total
001-102 I-XXII.Todas las causas;Ambos sexos;Todos los meses;436.124
001-102 I-XXII.Todas las causas;Ambos sexos;enero;43.835
001-102 I-XXII.Todas las causas;Ambos sexos;febrero;39.645
001-102 I-XXII.Todas las causas;Ambos sexos;marzo;39.976
001-102 I-XXII.Todas las causas;Ambos sexos;abril;34.697
001-102 I-XXII.Todas las causas;Ambos sexos;mayo;33.633
001-102 I-XXII.Todas las causas;Ambos sexos;junio;32.673
001-102 I-XXII.Todas las causas;Ambos sexos;julio;33.517
001-102 I-XXII.Todas las causas;Ambos sexos;agosto;35.439
001-102 I-XXII.Todas las causas;Ambos sexos;septiembre;32.050
001-102 I-XXII.Todas las causas;Ambos sexos;octubre;33.887
001-102 I-XXII.Todas las causas;Ambos sexos;noviembre;35.014
001-102 I-XXII.Todas las causas;Ambos sexos;diciembre;41.758
001-102 I-XXII.Todas las causas;Hombres;Todos los meses;220.742
001-102 I-XXII.Todas las causas;Hombres;enero;21.863
001-102 I-XXII.Todas las causas;Hombres;febrero;19.717
001-102 I-XXII.Todas las causas;Hombres;marzo;19.990
001-102 I-XXII.Todas las causas;Hombres;abril;17.578
001-102 I-XXII.Todas las causas;Hombres;mayo;17.159
001-102 I-XXII.Todas las causas;Hombres;junio;16.555
001-102 I-XXII.Todas las causas;Hombres;julio;17.277
001-102 I-XXII.Todas las causas;Hombres;agosto;17.781
001-102 I-XXII.Todas las causas;Hombres;septiembre;16.391
001-102 I-XXII.Todas las causas;Hombres;octubre;17.336
001-102 I-XXII.Todas las causas;Hombres;noviembre;17.895
001-102 I-XXII.Todas las causas;Hombres;diciembre;21.200
001-102 I-XXII.Todas las causas;Mujeres;Todos los meses;215.382
001-102 I-XXII.Todas las causas;Mujeres;enero;21.972
001-102 I-XXII.Todas las causas;Mujeres;febrero;19.928
001-102 I-XXII.Todas las causas;Mujeres;marzo;19.986
001-102 I-XXII.Todas las causas;Mujeres;abril;17.119
001-102 I-XXII.Todas las causas;Mujeres;mayo;16.474
001-102 I-XXII.Todas las causas;Mujeres;junio;16.118
001-102 I-XXII.Todas las causas;Mujeres;julio;16.240
001-102 I-XXII.Todas las causas;Mujeres;agosto;17.658
001-102 I-XXII.Todas las causas;Mujeres;septiembre;15.659
001-102 I-XXII.Todas las causas;Mujeres;octubre;16.551
001-102 I-XXII.Todas las causas;Mujeres;noviembre;17.119
001-102 I-XXII.Todas las causas;Mujeres;diciembre;20.558
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Todos los meses;14.935
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;enero;1.689
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;febrero;1.198
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;marzo;1.196
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;abril;1.136
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;mayo;1.131
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;junio;1.036
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;julio;911
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;agosto;1.518
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;septiembre;1.574
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;octubre;1.237
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;noviembre;949
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;diciembre;1.360
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Todos los meses;7.521
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;enero;848
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;febrero;576
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;marzo;557
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;abril;599
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;mayo;568
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;junio;515
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;julio;491
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;agosto;735
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;septiembre;818
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;octubre;629
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;noviembre;502
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;diciembre;683
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Todos los meses;7.414
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;enero;841
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;febrero;622
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;marzo;639
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;abril;537
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;mayo;563
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;junio;521
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;julio;420
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;agosto;783
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;septiembre;756
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;octubre;608
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;noviembre;447
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;diciembre;677
00A Covid-19 Virus identificado;Ambos sexos;Todos los meses;7.933
00A Covid-19 Virus identificado;Ambos sexos;enero;990
00A Covid-19 Virus identificado;Ambos sexos;febrero;507
00A Covid-19 Virus identificado;Ambos sexos;marzo;555
00A Covid-19 Virus identificado;Ambos sexos;abril;599
00A Covid-19 Virus identificado;Ambos sexos;mayo;632
00A Covid-19 Virus identificado;Ambos sexos;junio;516
00A Covid-19 Virus identificado;Ambos sexos;julio;371
00A Covid-19 Virus identificado;Ambos sexos;agosto;936
00A Covid-19 Virus identificado;Ambos sexos;septiembre;1.020
00A Covid-19 Virus identificado;Ambos sexos;octubre;711
00A Covid-19 Virus identificado;Ambos sexos;noviembre;433
00A Covid-19 Virus identificado;Ambos sexos;diciembre;663
00A Covid-19 Virus identificado;Hombres;Todos los meses;4.151
00A Covid-19 Virus identificado;Hombres;enero;533
00A Covid-19 Virus identificado;Hombres;febrero;245
00A Covid-19 Virus identificado;Hombres;marzo;253
00A Covid-19 Virus identificado;Hombres;abril;336
00A Covid-19 Virus identificado;Hombres;mayo;340
00A Covid-19 Virus identificado;Hombres;junio;262
00A Covid-19 Virus identificado;Hombres;julio;202
00A Covid-19 Virus identificado;Hombres;agosto;466
00A Covid-19 Virus identificado;Hombres;septiembre;554
00A Covid-19 Virus identificado;Hombres;octubre;369
00A Covid-19 Virus identificado;Hombres;noviembre;246
00A Covid-19 Virus identificado;Hombres;diciembre;345
