inc 20241226T145939Z - 20241226T154237Z # "DataCamp-CareerTrack-Associate_Data_Analyst_in_SQL"
inc 20241226T154924Z - 20241226T163042Z # "+Matematicas" "Oreilly-Book-Essential_Math_for_Data_Science"
inc 20241227T120206Z - 20241227T122309Z # "DataCamp-CareerTrack-Associate_Data_Analyst_in_SQL"
inc 20241227T122738Z - 20241227T131013Z # "+Matematicas" "Coursera-Specialization-Mathematics_for_Machine_Learning"
inc 20241227T172626Z - 20241227T181137Z # "+Matematicas" "Coursera-Specialization-Mathematics_for_Machine_Learning"
inc 20241228T110915Z - 20241228T114630Z # "Codewars-Ejercicios"
inc 20241228T124932Z - 20241228T130600Z # "+Matematicas" "Coursera-Specialization-Mathematics_for_Machine_Learning"
inc 20241228T184600Z - 20241228T190112Z # "+Data_Science" "DataCamp-CareerTrack-Associate_Data_Analyst_in_SQL"
inc 20241228T193147Z - 20241228T195701Z # "+Matematicas" "Oreilly-Book-Essential_Math_for_Data_Science"
inc 20241229T152547Z - 20241229T164119Z # "+General_Workflow" "Real_Python"
inc 20241230T080000Z - 20241230T083000Z # "Codewars-Ejercicios"
inc 20241230T165727Z - 20241230T172732Z # "+Data_Science" "Coursera-Multipath-Introduction_to_Data_Analytics"
inc 20241230T173416Z - 20241230T174533Z # "+Matematicas" "KhaAcademy-Specialization-Algebra"
